Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Protocol_described,Evidence,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,True,True,False,['Western blot'],[],['RIPA buffer'],True,cultures were resuspended in PBS and subjected to lysis with RIPA buffer; lysate protein concentrations were determined,,,28b5447d61,89c8f4fdcf,,,1101,0.75,True,[],[],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,True,False,[],['Triton X-100'],[],True,"After cell harvest, addition of Triton X-100 and a freeze-thaw cycle results in protein release.",,,f16e7fac29,c2f3da94c8,,,1100,0.5,False,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,True,['fluorescence assay'],['Triton X-100'],[],True,"Lysis buffer contained Triton X-100; after lysis, samples were centrifuged and fluorescence readings were performed.",,,f16e7fac29,61a8eac538,,,1011,0.75,True,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,True,"['agarose gel electrophoresis', 'viscosity measurement']",['Triton X-100'],[],True,Cells were resuspended in lysis/hydrolysis buffer with Triton X-100; samples were clarified by centrifugation and analyzed by gel electrophoresis.,,,f16e7fac29,f0270e5675,,,1011,0.75,True,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,True,['GFPuv analysis'],['Triton X-100'],[],True,"For microtiter plate autolysis, lysis buffer was added, lysates were clarified by centrifugation, and lysate was analyzed for GFPuv levels.",,,f16e7fac29,1a5df79bb6,,,1011,0.75,True,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,True,['fluorescence assay'],['Triton X-100'],[],True,Cell pellets were washed in PBS and Triton X-100 was added; GFP release was measured by centrifugation and fluorescence.,,,f16e7fac29,6473168c31,,,0011,0.5,True,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,True,"['high-throughput protein screening', 'protein purification']",['Triton X-100'],[],True,Autolysis/hydrolysis in microtiter plates was described as useful for screening proteins in crude lysates and proteins purified from crude lysates.,,,f16e7fac29,f2f2ac6e0b,,,1011,0.75,True,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,True,False,"['capillary electrophoresis', 'protein purification', 'high-throughput screening']",['Triton X-100'],[],True,“Triton X-100 ... triggers cell lysis”; “autolysis/hydrolysis protocol”; compatible with capillary electrophoresis systems,,,f16e7fac29,c2d8e8ed22,,,1101,0.75,True,[],['Triton X-100'],[]
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents,True,True,True,['TCID50 infectivity assay'],"['TDA-9', 'Polysorbate 20', 'Poloxamer 188']",[],True,"treated with detergent compositions A and B... at 37°C; compositions consist of TDA-9, Polysorbate 20, and Poloxamer 188.",,,a0f3d5023a,f64e1a72ef,,,1111,1.0,True,[],"['other:TDA-9', 'other:Polysorbate 20', 'Poloxamer 188']",[]
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents,True,False,True,['ddPCR'],"['TDA-9', 'Polysorbate 20', 'Poloxamer 188', 'Triton X-100']",[],True,room temperature... contents were centrifuged... samples collected for ddPCR; Triton X-100 solution was included as a positive control.,,,a0f3d5023a,7e7b6dec9e,,,1011,0.75,True,[],"['other:TDA-9', 'other:Polysorbate 20', 'Poloxamer 188', 'Triton X-100']",[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,"['plaque assay', 'spot assay']",[],[],True,"Sewage samples were centrifuged, filter-sterilized, and supernatants tested for bacteriophages using overlay and spot assays.",,,d9ccc77361,32579c2d81,,,1001,0.5,True,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,"['Transmission electron microscopy', 'restriction enzyme digestion', 'SDS-PAGE', 'bacterial growth inhibition assay']",[],[],True,Phage suspensions were purified using centrifugation-based steps and stored for the reported experiments.,,,d9ccc77361,d3081b36e8,,,1001,0.5,True,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,['Transmission electron microscopy'],[],[],True,Electron micrographs were obtained from phage particles purified by density-gradient centrifugation and negatively stained.,,,d9ccc77361,2779b969bc,,,1001,0.5,True,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,"['restriction enzyme digestion', 'agarose gel electrophoresis']",[],['QIA Lambda Minikit'],True,Phage genomic DNA was isolated from purified particles using QIA Lambda Minikit and then analyzed by restriction digestion.,,,d9ccc77361,01a9680935,,,1001,0.5,True,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,['SDS-PAGE'],['SDS'],['SDS-PAGE sample buffer (Bio-Rad)'],True,"Bacteriophage suspension was pelleted, mixed with SDS-PAGE sample buffer, boiled, and analyzed by SDS-PAGE.",,,d9ccc77361,2d6edc70ff,,,1001,0.5,True,[],['SDS'],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,False,False,False,[],[],[],False,,,,d9ccc77361,92f94d52df,,,0000,0.0,False,[],[],[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,True,[],"['Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside (DDM)', 'Triton CG-110', 'Triton X-100']",[],True,"“Small-scale lysis and clarification”; “Tween 20, Tween 80, DDM, and Triton CG-110 were tested…”",,,7800fd665f,d6c23ab5a2,,,1110,0.75,False,[],"['Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside (DDM)', 'other:Triton CG-110', 'Triton X-100']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,True,[],"['Triton X-100', 'Triton CG-110', 'n-Dodecyl-β-D-maltoside (DDM)']",[],True,"“At-scale lysis, clarification, and affinity chromatography”; “Triton X-100, Triton CG-110, and DDM were assessed.”",,,7800fd665f,16ae68467b,,,1110,0.75,False,[],"['Triton X-100', 'other:Triton CG-110', 'other:n-Dodecyl-β-D-maltoside (DDM)']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,False,['affinity chromatography'],"['Triton X-100', 'Triton CG-110', 'n-Dodecyl-β-D-maltoside']",[],True,"Figure 4 describes Molecule 2 at-scale clarification with Triton X-100, Triton CG-110, and DDM, measuring cell lysate, CCL, harvest yield, and affinity chromatography.",,,7800fd665f,7bad752403,,,1101,0.75,True,[],"['Triton X-100', 'other:Triton CG-110', 'other:n-Dodecyl-β-D-maltoside']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,False,['affinity chromatography'],"['Triton X-100', 'Triton CG-110', 'n-Dodecyl-β-D-maltoside']",[],True,"Section 3.4 reports Molecule 4 at-scale results with Triton X-100, DDM, and Triton CG-110; turbidity and affinity chromatography were compared.",,,7800fd665f,b0f251bd15,,,1101,0.75,True,[],"['Triton X-100', 'other:Triton CG-110', 'other:n-Dodecyl-β-D-maltoside']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,False,['affinity chromatography'],['Triton CG-110'],[],True,"Section 3.5/Figure 6 reports Molecule 1 harvesting with Triton CG-110 and COHC; CCL turbidity, harvest yield, and affinity chromatography were reported.",,,7800fd665f,67a9659411,,,1101,0.75,True,[],['other:Triton CG-110'],[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,False,['affinity chromatography'],"['Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside', 'Triton CG-110', 'Triton X-100']",[],True,"Discussion states that small-scale lysis screened Tween 20, Tween 80, DDM, and Triton CG-110; the conclusion compares them with Triton X-100.",,,7800fd665f,bbfcf55fd1,,,1101,0.75,True,[],"['Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside', 'other:Triton CG-110', 'Triton X-100']",[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,[],[],[],True,“Starvation was induced by centrifugation... washing... and resuspension in HEPES at 30 °C”,,,d06ccb6917,eba446e675,,,0010,0.25,False,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,True,False,False,[],[],[],True,“Preparation of cell-free medium (CFM)” with cells “removed... by centrifugation” and the filtrate used immediately,,,d06ccb6917,5a759f16c5,,,1000,0.25,False,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,['plaque assay'],[],[],True,"“Co-incubation of phages with Tetrahymena”; samples were filtered, diluted, and plated with an E. coli indicator",,,d06ccb6917,89b0f75aa2,,,0011,0.5,True,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,['plaque assay'],[],[],True,Pulse-chase cells were “collected by centrifugation” and “washed... to remove free phages”; samples were plated for enumeration,,,d06ccb6917,47af8641f4,,,0011,0.5,True,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,['plaque assay'],['SDS'],[],True,“Recovery of intracellular phages by SDS lysis”; cells were centrifuged/washed and diluted samples were plated,,,d06ccb6917,3e12d6e61d,,,0011,0.5,True,[],['SDS'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,['plaque assay'],['SDS'],[],True,UVC protection experiment: “All procedures were at room temperature”; samples were mixed with SDS “to lyse” cells for plaque counts,,,d06ccb6917,baeee6c103,,,0011,0.5,True,[],['SDS'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,['plaque assay'],['SDS'],[],True,UVB protection experiment was “as described above”; figure notes samples were processed as in the UVC protocol,,,d06ccb6917,88a9798e07,,,0011,0.5,True,[],['SDS'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,"['microscopy', 'plaque assay']",[],[],True,Transport-diffusion experiment: “All procedures were at room temperature”; cells were concentrated by centrifugation and samples assayed,,,d06ccb6917,100df7ec4e,,,0011,0.5,True,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,True,['Transmission electron microscopy'],[],[],True,"Electron microscopy prep harvested cells by centrifugation, washed them, and observed thin sections by TEM",,,d06ccb6917,5cfb7f58da,,,0011,0.5,True,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],[],[],False,,,,d06ccb6917,32fa487401,,,0000,0.0,False,[],[],[]
Specific and efficient cleavage of fusion proteins by recombinant plum pox virus NIa protease,False,False,True,"['SDS-PAGE', 'protease activity assay']",[],[],True,"cells were harvested by centrifugation, washed... resuspended... ice-cold lysis buffer... disrupted by French Press",,,abe31eeeb6,75b629a3cc,,,0011,0.5,True,[],[],[]
"Mammalian reovirus, a nonfusogenic nonenveloped virus, forms size-selective pores in a model membrane",False,False,True,"['Flow cytometry', 'Fluorescence microscopy', 'Density sedimentation']",[],[],True,"RBC ghosts were made by hypotonic lysis, washed, pelleted, resealed, and later used as RG preparations.",,,48802a47ed,5f917ae588,,,0011,0.5,True,[],[],[]
"Mammalian reovirus, a nonfusogenic nonenveloped virus, forms size-selective pores in a model membrane",False,False,True,"['Absorbance measurement', 'Protease sensitivity assay']",['Triton X-100'],[],True,Hemolysis reactions were chilled and centrifuged; a detergent reaction containing Triton X-100 served as the complete-lysis reference.,,,48802a47ed,76f14f9164,,,0011,0.5,True,[],['Triton X-100'],[]
"Mammalian reovirus, a nonfusogenic nonenveloped virus, forms size-selective pores in a model membrane",True,True,True,"['Flow cytometry', 'Fluorescence microscopy']",[],[],True,"Hemolysis-like reactions with RGs were chilled, diluted, and analyzed by flow cytometry; microscopy was also used for RG leakage.",,,48802a47ed,d277292f15,,,1111,1.0,True,[],[],[]
"Mammalian reovirus, a nonfusogenic nonenveloped virus, forms size-selective pores in a model membrane",False,False,False,"['SDS/PAGE', 'Immunoblotting', 'Scintillation counting']",[],[],True,"RG leakage reactions were fractionated on gradients, tubes were washed and boiled, and fractions were analyzed by SDS/PAGE or counting.",,,48802a47ed,a2bc0f4d5c,,,0001,0.25,True,[],[],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,True,True,"['RT-qPCR', 'Microfluidics-based RNA electrophoresis']",['IGEPAL CA-630'],[],True,cells were washed ... exposed to CL Buffer ... Igepal CA-630 ... at room temperature; lysates were used for RT-qPCR/Experion analyses,,,26f83ea56a,a87c3068a8,,,0111,0.75,True,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,True,['Microfluidics-based RNA electrophoresis'],['IGEPAL CA-630'],[],True,CL lysate soluble fraction was obtained by ultracentrifugation or centrifugal filtration and then assessed by Experion electrophoresis,,,26f83ea56a,bb32f053fd,,,0011,0.5,True,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,True,True,False,['Western blot'],['IGEPAL CA-630'],[],True,Cell lysates were prepared using a non-ionic detergent lysis buffer containing Igepal CA-630 for Western blot analysis,,,26f83ea56a,a68420bf65,,,1101,0.75,True,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,True,True,['RT-qPCR'],['IGEPAL CA-630'],[],True,infected cells were washed and exposed to CL Buffer at room temperature; resulting lysates were subjected to RT-qPCR analysis,,,26f83ea56a,944da8f5ac,,,0111,0.75,True,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,False,[],[],[],False,,,,26f83ea56a,8cc88999f3,,,0000,0.0,False,[],[],[]
Expression and purification of a functional human hepatitis B virus polymerase,True,True,False,['PCR'],['SDS'],[],True,cellular DNA was isolated from tissues by SDS-protease K digestion and phenol-chloroform extraction; HBV-Pol sequence was amplified,,,b486c61d68,4536f1b6ee,,,1101,0.75,True,[],['SDS'],[]
Expression and purification of a functional human hepatitis B virus polymerase,True,False,False,['dot blot'],['SDS'],[],True,Cells were harvested by centrifugation and disrupted with lysis-buffer ... SDS; expression level was determined with dot blot,,,b486c61d68,184373b67a,,,1001,0.5,True,[],['SDS'],[]
Expression and purification of a functional human hepatitis B virus polymerase,False,False,False,"['SDS-PAGE', 'Western blotting', 'DNA polymerase activity assay', 'reverse transcriptase activity assay']",['SDS'],[],True,strong detergent (SDS) was employed in the lysis step; SDS was replaced by NP-40 during washing and elution,,,b486c61d68,b197f41555,,,0001,0.25,True,[],['SDS'],[]
Expression and purification of a functional human hepatitis B virus polymerase,True,True,False,['in vitro transcription/translation'],[],['Qiagen Midiprep DNA purification kit'],True,plasmid pT7-Pol was purified with Qiagen Midiprep DNA purification kit; in vitro transcription and translation reactions were performed,,,b486c61d68,30e1585bd8,,,1101,0.75,True,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,True,False,False,"['SDS-PAGE', 'Western blot']",[],['Laemmli buffer'],True,"cells were harvested, re-suspended in Laemmli buffer, and boiled; samples were resolved for SDS-PAGE and Western blot",,,957f9235eb,772e1b289d,,,1001,0.5,True,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,"['TEM', 'Bradford assay']",[],['BPER-II'],True,"Cell pellet was re-suspended in BPER-II; cells were lysed via French pressure, centrifuged, and BMCs were washed",,,957f9235eb,e51b7e08e7,,,0001,0.25,True,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,True,True,True,['TEM'],[],[],True,"Purified BMC suspension was applied to a grid, stained, dried at room temperature, and analyzed by TEM",,,957f9235eb,d1c1c5248e,,,1111,1.0,True,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,"['growth inhibition assay', 'UV absorbance protein quantification']",['Empigen BB'],[],True,"Cells were lysed via French pressure; lysates were centrifuged, treated with EBB detergent, purified, and quantified",,,957f9235eb,ad96196f4b,,,0001,0.25,True,[],['other:Empigen BB'],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,True,False,"['SDS-PAGE', 'Western blot']",['Empigen BB'],[],True,"For purification from isolated BMCs, EBB detergent was used to solubilize PduP-E; fractions were analyzed by SDS-PAGE and Western blot",,,957f9235eb,876f6ff28c,,,0101,0.5,True,[],['other:Empigen BB'],[]
