Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods,Evidence,Protocol_described
Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly,False,False,False,[],"['Triton X-100', 'n-octyl-β-D-glucopyranoside']",[],,,88bce882dc,ace13e0984,,,0000,0.0,False,[],"['Triton X-100', 'other:n-octyl-β-D-glucopyranoside']",[],,
Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling,False,False,False,['unspecified_downstream_assay'],"['NP-40', 'deoxycholate', 'SDS']",[],,,c4f6334f1f,38bf34a01d,,,0000,0.0,False,[],"['NP-40', 'deoxycholate', 'SDS']",[],,
Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling,False,False,False,['Sequencing'],[],[],,,c4f6334f1f,3d5e7bfd15,,,0001,0.25,True,[],[],[],,
Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection,True,True,False,['RT-PCR/RT-qPCR'],"['Tween 20', 'Triton X-100']",[],,,33c3f99be6,a6780a0205,,,1101,0.75,True,[],"['Tween 20', 'Triton X-100']",[],,
Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection,True,True,False,['RT-PCR/RT-qPCR'],"['Tween 20', 'Triton X-100']",[],,,33c3f99be6,a6780a0205,,,1101,0.75,True,[],"['Tween 20', 'Triton X-100']",[],,
Identification of Protein Interacting Partners Using Tandem Affinity Purification,False,False,False,['Sequencing'],['NP-40'],[],,,7abea0f598,b7b306c8d7,,,0001,0.25,True,[],['NP-40'],[],,
A Novel Bacteriophage Targeting Cronobacter sakazakii Is a Potential Biocontrol Agent in Foods,False,False,False,[],[],[],,,98857ac48e,787fb66dc8,,,0000,0.0,False,[],[],[],,
"Biological characteristics and whole-genome analysis of the Lactobacillus reuteri potential probiotic, S5",False,False,False,['Sequencing'],[],"['B1 lysate', 'B2 lysis buffer']",,,32f208ffa5,706fcfbfa9,,,0001,0.25,True,[],[],[],,
"Isolation and Characterization of φkm18p, a Novel Lytic Phage with Therapeutic Potential against Extensively Drug Resistant Acinetobacter baumannii",False,False,False,[],['N-lauroylsarcosine (Sarkosyl)'],[],,,14071a49c5,7b7b4960a0,,,0000,0.0,False,[],['N-lauroylsarcosine (Sarkosyl)'],[],,
"Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection",False,False,False,['RT-PCR/RT-qPCR'],[],[],,,a18d0633fe,938d8ddfb2,,,0001,0.25,True,[],[],[],,
"Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection",False,False,False,['RT-PCR/RT-qPCR'],[],[],,,a18d0633fe,938d8ddfb2,,,0001,0.25,True,[],[],[],,
The holin of bacteriophage lambda forms rings with large diameter,False,False,False,[],[],[],,,a1c26413f9,1df0b76bb3,,,0000,0.0,False,[],[],[],,
The holin of bacteriophage lambda forms rings with large diameter,True,False,False,[],[],[],,,a1c26413f9,26be45bcc2,,,1000,0.25,False,[],[],[],,
Purification and Functional Characterization of the φX174 Lysis Protein E,True,False,False,[],"['Empigen BB', 'SDS', 'n-dodecyl-β-D-maltoside']",[],,,cad0d15d8e,edc61d80ff,,,1000,0.25,False,[],"['other:Empigen BB', 'SDS', 'other:n-dodecyl-β-D-maltoside']",[],,
Purification and Functional Characterization of the φX174 Lysis Protein E,False,False,False,[],"['Triton X-100', 'Tween 20', 'NP-40', 'SDS', 'deoxycholate', 'saponin']","['DHPC', 'EBB']",,,cad0d15d8e,480150dd90,,,0000,0.0,False,[],"['Triton X-100', 'Tween 20', 'NP-40', 'SDS', 'deoxycholate', 'saponin']",[],,
Maturation of the Gag core decreases the stability of retroviral lipid membranes,False,False,False,[],"['Triton X-100', 'Tween 20', 'Empigen', 'SDS']",[],,,d32f55c5ea,cd8a233ebb,,,0000,0.0,False,[],"['Triton X-100', 'Tween 20', 'other:Empigen', 'SDS']",[],,
Maturation of the Gag core decreases the stability of retroviral lipid membranes,False,True,False,[],"['Triton X-100', 'Tween 20', 'Empigen']",[],,,d32f55c5ea,4f761bf99d,,,0100,0.25,False,[],"['Triton X-100', 'Tween 20', 'other:Empigen']",[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,False,False,False,[],"['Triton X-100', 'Tween 20', 'NP-40', 'CHAPS', 'N-lauroylsarcosine']",[],,,011aa8ba17,c1e520fef2,,,0000,0.0,False,[],"['Triton X-100', 'Tween 20', 'NP-40', 'CHAPS', 'other:N-lauroylsarcosine']",[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,True,False,True,[],"['Tween 20', 'Triton X-100', 'CHAPS', 'N-lauroylsarcosine (Sarkosyl)', 'NP-40']",[],,,011aa8ba17,5e6d511ba6,,,1010,0.5,False,[],"['Tween 20', 'Triton X-100', 'CHAPS', 'N-lauroylsarcosine (Sarkosyl)', 'NP-40']",[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,True,True,False,[],"['Tween 20', 'Triton X-100', 'NP-40', 'CHAPS', 'N-lauroylsarcosine']",[],,,011aa8ba17,fece4c1e5d,,,1100,0.5,False,[],"['Tween 20', 'Triton X-100', 'NP-40', 'CHAPS', 'other:N-lauroylsarcosine']",[],,
Evaluation of Chemical Protocols for Inactivating SARS-CoV-2 Infectious Samples,False,False,True,['RT-PCR/RT-qPCR'],['SDS'],['Buffer ATL'],,,cf283c7b36,40f862da70,,,0011,0.5,True,[],['SDS'],[],,
Evaluation of Chemical Protocols for Inactivating SARS-CoV-2 Infectious Samples,False,False,True,['RT-PCR/RT-qPCR'],['Triton X-100'],['Buffer VXL'],,,cf283c7b36,e048e68fa0,,,0011,0.5,True,[],['Triton X-100'],[],,
Evaluation of Chemical Protocols for Inactivating SARS-CoV-2 Infectious Samples,False,False,True,['RT-PCR/RT-qPCR'],[],['Buffer AVL'],,,cf283c7b36,aea9fb8556,,,0011,0.5,True,[],[],[],,
Evaluation of Chemical Protocols for Inactivating SARS-CoV-2 Infectious Samples,False,False,True,['RT-PCR/RT-qPCR'],['Triton X-100'],['Buffer AVL'],,,cf283c7b36,9c6cbc19af,,,0011,0.5,True,[],['Triton X-100'],[],,
Direct RT-PCR amplification of SARS-CoV-2 from clinical samples using a concentrated viral lysis-amplification buffer prepared with IGEPAL-630,True,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],,,e18779230c,d9437ae368,,,1101,0.75,True,[],['IGEPAL CA-630'],[],,
Direct RT-PCR amplification of SARS-CoV-2 from clinical samples using a concentrated viral lysis-amplification buffer prepared with IGEPAL-630,True,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],,,e18779230c,d9437ae368,,,1101,0.75,True,[],['IGEPAL CA-630'],[],,
Lytic Myophage Abp53 Encodes Several Proteins Similar to Those Encoded by Host Acinetobacter baumannii and Phage phiKO2,True,False,False,[],['SDS'],[],,,1182723993,d00d0505b4,,,1000,0.25,False,[],['SDS'],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,"['PCR/qPCR', 'Sequencing']",[],[],,,8b683c0f32,cae810b0a3,,,1101,0.75,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],[],[],,,8b683c0f32,0efe9c74e7,,,1101,0.75,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],['Tween 20'],[],,,8b683c0f32,63ee17d86a,,,1101,0.75,True,[],['Tween 20'],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids (conventional comparison: CTAB/SDS lysis),False,False,False,['PCR/qPCR'],"['CTAB', 'SDS']",[],,,8b683c0f32,e4b54cdb51,,,0001,0.25,True,[],"['CTAB', 'SDS']",[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,"['PCR/qPCR', 'Sequencing']",['Tween 20'],['Phire Plant PCR buffer'],,,8b683c0f32,450ed787e4,,,1101,0.75,True,[],['Tween 20'],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],[],[],,,8b683c0f32,0efe9c74e7,,,1101,0.75,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,False,True,False,['PCR/qPCR'],[],[],,,8b683c0f32,68b7d89c48,,,0101,0.5,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,False,False,False,['unspecified_downstream_assay'],['CTAB'],[],,,8b683c0f32,2406fd91ae,,,0000,0.0,False,[],['CTAB'],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,False,False,[],['SDS'],[],,,8b683c0f32,d81b37cad2,,,1000,0.25,False,[],['SDS'],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,True,"['PCR/qPCR', 'Sequencing']",[],[],,,0dbc656979,8c6ee002f3,,,1111,1.0,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,True,['PCR/qPCR'],[],[],,,0dbc656979,afb04b8374,,,1111,1.0,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],[],[],,,0dbc656979,9fab3f70df,,,1101,0.75,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids (traditional CTAB/SDS comparison lysis),False,False,False,['PCR/qPCR'],"['CTAB', 'SDS']",[],,,0dbc656979,86f9bfd6ca,,,0001,0.25,True,[],"['CTAB', 'SDS']",[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,"['PCR/qPCR', 'Sequencing']",[],[],,,0dbc656979,2b6f194f12,,,1101,0.75,True,[],[],[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],[],[],,,0dbc656979,6b06288b40,,,1101,0.75,True,[],[],[],,True
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,False,True,False,['PCR/qPCR'],[],[],,,0dbc656979,fd36b225b0,,,0101,0.5,True,[],[],[],,True
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,False,False,['unspecified_downstream_assay'],['CTAB'],[],,,0dbc656979,fcd0871123,,,1000,0.25,False,[],['CTAB'],[],,True
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,False,False,['unspecified_downstream_assay'],['SDS'],[],,,0dbc656979,dfc4f267d1,,,1000,0.25,False,[],['SDS'],[],,True
Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer,False,False,False,['RT-PCR/RT-qPCR'],['hexadecyltrimethylammonium chloride (Hexa-DTMC)'],['Prep Buffer A'],,,8c41258f49,0324ef3899,,,0001,0.25,True,[],['other:hexadecyltrimethylammonium chloride (Hexa-DTMC)'],[],,
Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer,True,True,False,['RT-PCR/RT-qPCR'],"['hexadecyltrimethylammonium chloride (Hexa-DTMC)', 'Triton X-100']","['Prep Buffer A', 'eNAT']",,,8c41258f49,cab4df6d77,,,1101,0.75,True,[],"['other:hexadecyltrimethylammonium chloride (Hexa-DTMC)', 'Triton X-100']",[],,
