Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Protocol_described,Evidence,Source_page,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],True,cells were washed twice with PBS and then exposed to CL Buffer... (0.25% Igepal CA-630)... at room temperature (~22 °C)... lysates... subjected to RT-qPCR analysis.,2,,,26f83ea56a,15ccd9716b,,,0101,0.5,True,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,False,[],['IGEPAL CA-630'],[],True,"The soluble fraction was obtained either by... ultracentrifugation (208,000 × g)... or... Amicon Ultra... by centrifugation... after... CL Buffer (10 mM Tris-HCl... 0.25% Igepal CA-630...).",2,,,26f83ea56a,841ad0c645,,,0000,0.0,False,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,True,False,[],['IGEPAL CA-630'],[],True,Cell lysates were prepared using a non-ionic detergent lysis buffer... 1% Igepal CA-630...,2,,,26f83ea56a,a99dbe5509,,,0100,0.25,False,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,False,[],[],['RNeasy Mini kit (Qiagen)'],True,Total RNA was purified from cell lysates... using the RNeasy Mini kit (Qiagen) according to the “cleanup” protocol supplied with the kit.,2,,,26f83ea56a,a77f76cb7b,,,0000,0.0,False,[],[],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,False,[],[],[],False,,,,,26f83ea56a,448c60adde,,,0000,0.0,False,[],[],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,['RT-LAMP'],['Tween 20'],[],True,"“steps included thermal lysis and binding at 65 °C, washing, and LAMP detection at 65 °C.”",3,,,5ad5a05d8d,ce9391046d,,,0101,0.5,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",['Tween 20'],[],True,“RNA concentration was quantified by RT-qPCR… three conditions… using intensive buffers and heat treatment at 65 °C”,6,,,5ad5a05d8d,a6a1eebbc6,,,0101,0.5,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,['RT-LAMP'],['Tween 20'],[],True,“combined RNA extraction and RT-LAMP detection on a single chip… thermal lysis… at 65 °C… [then] a thorough washing step”,6,,,5ad5a05d8d,8356e1b417,,,0101,0.5,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,"['RT-PCR/RT-qPCR', 'LAMP']",['unspecified_detergent'],[],True,"“three steps: 1) thermal lysis and binding, 2) washing and magnetic bead-based RNA purification, and 3) colorimetric RT-LAMP detection”; also “buffers containing surfactants … and heat treatment”",7,,,5ad5a05d8d,0bae1c0ddb,,,0101,0.5,True,[],['other:unspecified_detergent'],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['Sequencing'],[],['QIAamp DNA Mini Kit'],True,“Total cellular DNA was extracted… using the QIAamp DNA Mini Kit… proteins were removed via ethanol/salt washes”,2,,,28626e51d3,cef4d944b0,,,0001,0.25,True,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,[],[],[],True,“DNA… treated with… ATP-dependent exonuclease… stopped by heating… purified with… phenol/chloroform… precipitated with… ethanol.”,2,,,28626e51d3,1c8c7c9688,,,0000,0.0,False,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],[],True,“qPCR conditions… Amplification reactions included… DNA template…”,2,,,28626e51d3,8c5f70782f,,,0001,0.25,True,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['Sequencing'],"['Triton X-100', 'SDS']",[],True,“Infected cells were washed… permeabilization buffer… 1% Triton X-100… digestion buffer… 0.5% SDS”,3,,,28626e51d3,d753262f31,,,0001,0.25,True,[],"['Triton X-100', 'SDS']",[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['Sequencing'],[],[],True,“Polyethylene glycol precipitation of high-molecular weight… DNA… centrifuged… washed with… 70% ethanol”,3,,,28626e51d3,f6ada2dbd5,,,0001,0.25,True,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,[],[],[],False,,,,,28626e51d3,2d16a84554,,,0000,0.0,False,[],[],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,True,False,False,[],"['Triton X-100', 'deoxycholate', 'CTAB', 'unspecified_detergent']","['AAV-MAX lysis buffer', 'Deviron C16', 'Deviron 13S9']",True,"Cultures were ... exposed to various detergents ... Triton X100, sodium deoxycholate ... Deviron C16 ... Deviron 13S9 ... AAV-MAX lysis buffer, CTAB ... Following incubation, cell debris was removed by centrifugation",2-3,,,87a4bf06e5,84a822e217,,,1000,0.25,False,[],"['Triton X-100', 'deoxycholate', 'CTAB', 'other:unspecified_detergent']",[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,False,False,[],[],[],True,The crude lysates were diafiltered against ... binding buffer ... using ... hollow fiber filter ... or a Pellicon 2 cassette,3,,,87a4bf06e5,1209a745d1,,,0000,0.0,False,[],[],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,True,False,[],[],[],True,"After loading, the column was washed with ... binding buffer",3,,,87a4bf06e5,d4b1dce1f0,,,0100,0.25,False,[],[],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,True,False,[],[],[],True,"After loading, the column was washed with ... binding buffer. The elution was performed using a ... linear gradient",3,,,87a4bf06e5,f0a26460e9,,,0100,0.25,False,[],[],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,True,True,False,['PCR/qPCR'],[],[],True,samples ... were initially incubated with TurboDNase ... and treated at 95 °C ... subjected to Proteinase K digestion ... The resulting samples were analyzed by TaqMan qPCR,3,,,87a4bf06e5,b6a3c71a09,,,1101,0.75,True,[],[],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,True,False,False,[],"['CTAB', 'Triton X-100', 'sodium deoxycholate']",['AAV-MAX lysis mix'],True,"“cell lysis and TFF… lysates were initially processed using centrifugal filters… lysates prepared with Triton X-100… Deviron 13-S9, and sodium deoxycholate… samples treated with CTAB”",7,,,87a4bf06e5,51b73fced6,,,1000,0.25,False,[],"['CTAB', 'Triton X-100', 'other:sodium deoxycholate']",[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,True,True,False,[],[],[],True,“The affinity eluates were initially diluted in AEX loading buffer… and loaded onto a Capto Q adsorbent… achieved by implementing an extended linear gradient”,8,,,87a4bf06e5,4c20d6c258,,,1100,0.5,False,[],[],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,False,False,[],[],[],False,,,,,87a4bf06e5,a00192cef6,,,0000,0.0,False,[],[],[]
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens,True,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],True,"“IGEPAL-CA-630 (IGEPAL) was added … and crude sample was added directly to the PCR well … in-well lysis, direct rRT-PCR.”",2,,,ba743b1bb9,1cd3e7f6e6,,,1101,0.75,True,[],['IGEPAL CA-630'],[]
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens,False,False,False,['RT-PCR/RT-qPCR'],[],['MagNA Pure 96 DNA and Viral NA small volume kit'],True,“purification of total NA (TNA) on a MagNA Pure 96 using the MagNA Pure 96 DNA and Viral NA small volume kit”,2,,,ba743b1bb9,59c454deae,,,0001,0.25,True,[],[],[]
Factors influencing lysis time stochasticity in bacteriophage λ,False,False,False,[],[],[],False,,,,,0288f54438,ee398bc5a5,,,0000,0.0,False,[],[],[]
Factors influencing lysis time stochasticity in bacteriophage λ,False,True,False,[],[],[],True,"To induce lysis, the chamber temperature was raised to 42°C ... and then dropped to 37°C ... Some experiments were performed by adding KCN ...",10,,,0288f54438,3a4645ea70,,,0100,0.25,False,[],[],[]
Factors influencing lysis time stochasticity in bacteriophage λ,False,False,False,[],[],[],False,,,,,0288f54438,ee398bc5a5,,,0000,0.0,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,True,False,[],[],[],True,Deletion mutants were constructed by allele replacement using the Lambda RED strategy... created using PCR-mediated ligation,1641,,,cdbe4e7e26,041d26efd7,,,0100,0.25,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,True,False,[],[],[],True,wells were thoroughly washed with water... 95% ethanol was added to each well,1643,,,cdbe4e7e26,d8971cbcc3,,,0100,0.25,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,True,True,False,[],[],[],True,Cell autoaggregation was measured as described... cultures were vortexed and sampled again,1643,,,cdbe4e7e26,4f131a2969,,,1100,0.5,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,True,False,[],[],[],True,grids were then rinsed in MilliQ water... and allowed to dry before observation,1643,,,cdbe4e7e26,83d05b7cdc,,,0100,0.25,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,True,False,True,[],[],[],True,cells were centrifuged... and resuspended in... Congo red,1643,,,cdbe4e7e26,c657ff7bf8,,,1010,0.5,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,True,True,True,[],[],[],True,Reporter plasmid pJBA110... was transformed... fluorescence was measured,1644,,,cdbe4e7e26,df31200786,,,1110,0.75,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,True,False,[],['SDS'],[],True,samples were taken and boiled in 4% (w/v) SDS... Filters were washed,1644,,,cdbe4e7e26,3e63ddccf8,,,0100,0.25,False,[],['SDS'],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,True,True,True,[],[],[],True,Cells were challenged with an inhibitory concentration of SDS,1644,,,cdbe4e7e26,2c6673b0fb,,,1110,0.75,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,False,False,[],[],[],False,,,,,cdbe4e7e26,fc5165802e,,,0000,0.0,False,[],[],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,[],"['Triton X-100', 'Polysorbate 20']",[],True,"“Two detergents were evaluated for cell lysis, Triton X-100 and Polysorbate 20… The digestion proceeded… at 37°C… Clarification… filters were previously washed…”",2,,,3b5dc8f6b4,6ac0724d02,,,0000,0.0,False,[],"['Triton X-100', 'other:Polysorbate 20']",[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,['PCR/qPCR'],[],['High Pure Viral Nucleic Acid Kit'],True,“viral genomes were then extracted using High Pure Viral Nucleic Acid Kit… The viral genome copies were quantified by qPCR”,3,,,3b5dc8f6b4,57ce401e74,,,0001,0.25,True,[],[],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,['PCR/qPCR'],"['Triton X-100', 'Polysorbate 20']",[],True,“two different detergents for cell lysis - Triton X-100 and Polysorbate 20… Total viral particles (TP) recovery was determined by qPCR.”,2,,,3b5dc8f6b4,3bbee31173,,,0001,0.25,True,[],"['Triton X-100', 'other:Polysorbate 20']",[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,[],['Polysorbate 20'],[],True,“The scale-up process was performed with Polysorbate 20 as cell lysis agent… an UHPLC quantification was assessed for the final process sample.”,3,,,3b5dc8f6b4,95984c8d58,,,0000,0.0,False,[],['other:Polysorbate 20'],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],[],['BPER-II'],True,“BMCs were isolated… Cell pellet… re-suspended in… 60% BPER-II… Cells were lysed… and centrifuged… The BMCs were washed…”,4,,,957f9235eb,abf6dc0c26,,,0000,0.0,False,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],[],[],True,“cells… were harvested… immediately re-suspended in… Laemmli buffer. Samples were boiled… For Western blot… blocked… containing… Tween20”,4,,,957f9235eb,e6f31eceec,,,0000,0.0,False,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],['unspecified_detergent'],[],True,“EBB detergent… was added… and rocked… The supernatant was then centrifuged…”,5,,,957f9235eb,a9a7769365,,,0000,0.0,False,[],['other:unspecified_detergent'],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],['unspecified_detergent'],[],True,"“For purification from isolated BMCs, EBB detergent was added… to solubilize… then… added to… Ni–NTA resin… The column was washed…”",5,,,957f9235eb,8a704656e5,,,0000,0.0,False,[],['other:unspecified_detergent'],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],['unspecified_detergent'],[],True,“treated with… in… 0.06% EBB… Ni–NTA resin was removed by centrifugation… The mixture was then directly used in growth inhibition assays.”,5,,,957f9235eb,cecd9d742b,,,0000,0.0,False,[],['other:unspecified_detergent'],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],[],[],False,,,,,957f9235eb,90e0915fad,,,0000,0.0,False,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],[],[],False,,,,,957f9235eb,90e0915fad,,,0000,0.0,False,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],True,“The expression of lysis gene E and thus the start of E-lysis was induced by increasing the cultivation temperature to 42 °C.”,3,,,83e42d0cb9,137b35e777,,,0000,0.0,False,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],True,"“A … sample was centrifuged … The supernatant was put on −20 °C … while the pellet was washed, centrifuged again, and then dried … at 105 °C.”",4,,,83e42d0cb9,35196f13f3,,,0000,0.0,False,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],True,“A duplicate of … fermentation broth was centrifuged … and washed once… samples taken before the E-lysis phase were homogenized”,4,,,83e42d0cb9,260b292246,,,0000,0.0,False,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,True,False,False,[],['SDS'],[],True,“samples … were … reduced on a heating block … in a buffer described by Laemmli (1970)… loaded onto sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS) gels”,5,,,83e42d0cb9,7ceb102ebd,,,1000,0.25,False,[],['SDS'],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,True,False,False,[],[],[],True,“One milliliter of each of these samples was centrifuged … The supernatant was discarded”,5,,,83e42d0cb9,8795f1541d,,,1000,0.25,False,[],[],[]
A novel method to recover inclusion body protein E. coli from recombinant fed-batch processes based on phage X174-derived lysis protein E,False,False,False,[],[],[],False,,,,,83e42d0cb9,883b683fd9,,,0000,0.0,False,[],[],[]
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,False,True,False,[],[],[],True,Both types of cultures infected with Delta-24-RGD were washed twice with PBS and mixed with ... trypan blue,2,,,28b5447d61,efe40487a9,,,0100,0.25,False,[],[],[]
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,False,True,False,[],[],[],True,The stain solution was removed and the microwells were rinsed 3 times in PBS.,3,,,28b5447d61,9f653e01b1,,,0100,0.25,False,[],[],[]
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,True,True,False,[],['unspecified_detergent'],['RIPA buffer'],True,Both type of cultures were ... subjected to lysis with RIPA buffer ... From each sample ... SDS-PAGE,3,,,28b5447d61,efa950d4ff,,,1100,0.5,False,[],['other:unspecified_detergent'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,True,False,[],['Triton X-100'],[],False,,,,,f16e7fac29,0f884c2947,,,1100,0.5,False,[],['Triton X-100'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,[],['Triton X-100'],[],True,"“To measure lysis… cells were… resuspended in lysis buffer… supplemented with… Triton X-100… After lysis, samples were centrifuged…”",3,,,f16e7fac29,91d9d46938,,,0000,0.0,False,[],['Triton X-100'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,False,[],['Triton X-100'],[],True,“Cells were harvested by centrifugation and resuspended in lysis/hydrolysis buffer… 0.1% Triton X-100… subjected to a single freeze thaw…”,4,,,f16e7fac29,e7ea6b4ded,,,1000,0.25,False,[],['Triton X-100'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,False,[],['Triton X-100'],[],True,“96-well plates… cells were harvested using a… plate centrifuge… lysis buffer… added… placed at −60°C… lysates clarified by centrifugation again…”,4,,,f16e7fac29,146f48d9a5,,,1000,0.25,False,[],['Triton X-100'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,[],['Triton X-100'],[],True,“Cell pellets were washed in PBS and Triton X-100 was added… GFP release was measured… by centrifugation…”,4,,,f16e7fac29,51128d1be9,,,0000,0.0,False,[],['Triton X-100'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,True,False,False,[],['Triton X-100'],[],True,“cell lysates were more concentrated… Cell pellets were resuspended… in a lysis buffer… and 0.1% Triton X-100”,4,,,f16e7fac29,90466c5882,,,1000,0.25,False,[],['Triton X-100'],[]
Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,True,False,['unspecified_downstream_assay'],['Triton X-100'],[],True,"“Percent viability was measured after washing with ice-cold water (twice), ice-cold 10% glycerol (once), and a single freeze thaw… (0.1% Triton X-100)… compatible with our autolysis/hydrolysis protocol”",2858,,,f16e7fac29,f8811aba72,,,0100,0.25,False,[],['Triton X-100'],[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,[],"['Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside (DDM)', 'Triton CG-110', 'Triton X-100']",[],True,“Small-scale lysis and clarification… Fresh detergent stock solution was added… spinner flasks were kept… at 37°C during the lysis process… Air purge and filter flush were performed prior to clarification”,2,,,7800fd665f,74236c10d1,,,0100,0.25,False,[],"['Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside (DDM)', 'other:Triton CG-110', 'Triton X-100']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,[],"['Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside (DDM)', 'Triton CG-110']",[],True,"“Bioreactors… Prior to harvest… Fresh detergent stock solutions were added to the bioreactor… temperature at 37°C… Then, the cell lysate was ready as the loading material for at-scale clarification.”",2,,,7800fd665f,bc22e01056,,,0100,0.25,False,[],"['Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside (DDM)', 'other:Triton CG-110']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,['PCR/qPCR'],[],[],True,“the materials were first treated… followed by heat treatment… A standard curve was prepared… qPCR… Polymerase chain reaction (PCR) was carried out…”,3,,,7800fd665f,ae977baaab,,,0101,0.5,True,[],[],[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,[],"['Triton X-100', 'Triton CG-110', 'n-Dodecyl-β-D-maltoside (DDM)']",[],True,"“0.1% Triton X-100, 0.5% Triton CG-110, and 0.1% DDM… cell lysate… clarified… further purified by affinity chromatography… chromatograms… end of column wash”",6-7,,,7800fd665f,403081884d,,,0100,0.25,False,[],"['Triton X-100', 'other:Triton CG-110', 'other:n-Dodecyl-β-D-maltoside (DDM)']",[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],[],[],True,Preparation of cell-free medium (CFM)... cells were removed... by centrifugation... The supernatant was then filtered through a... surfactant-free... filter,207,,,d06ccb6917,bbd2544309,,,0000,0.0,False,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,True,True,False,[],[],[],True,"Co-incubation of phages with Tetrahymena... After thorough mixing, samples were withdrawn, passed through 0.2-mm filters",208,,,d06ccb6917,8a36aa79f2,,,1100,0.5,False,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],[],[],True,Two phage pulse-chase experiment... cells were collected by centrifugation... and washed 4 times to remove free phages,208,,,d06ccb6917,ea1f245048,,,0000,0.0,False,[],[],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],['SDS'],[],True,Recovery of intracellular phages by SDS lysis... Both tubes then received... sodium dodecyl sulfate (SDS) and were vortexed,208,,,d06ccb6917,36abec743d,,,0000,0.0,False,[],['SDS'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],['SDS'],[],True,The cells were centrifuged... The washes were repeated... then... samples were... mixed with... SDS to lyse the T. thermophila,208,,,d06ccb6917,6cc0b37686,,,0000,0.0,False,[],['SDS'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],['SDS'],[],True,ΦX174 were fed... The cells were then washed by centrifugation and resuspended... Both tubes then received... sodium dodecyl sulfate,209,,,d06ccb6917,71fabb3676,,,0000,0.0,False,[],['SDS'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,[],[],[],False,,,,,d06ccb6917,e78c0e182a,,,0000,0.0,False,[],[],[]
Lipidomic study of intracellular Singapore grouper iridovirus,False,False,False,[],[],[],True,“cells were harvested to purify intracellular SGIV by two-step density gradient centrifugation using an iodixanol medium.”,3,,,59b125a31e,fd2c38898b,,,0000,0.0,False,[],[],[]
